Дата выхода на Литрес,Автор книги,Название книги,Длинное описание,Жанры и теги,Дата отзыва,Автор отзыва,Текст отзыва,Лайки,Дизлайки,Рейтинг,Ссылка
Не найдено,,,"Я жила у зеленых холмов Идегоррии, где растут исполинские деревья и искрятся хрустальные водопады. Я рисовала этот мир, изменяя... 
Смотреть оглавление
Другие версии
1 книга от 299 ₽
Другие версии книги
Аудиокниги
Я тебя рисую
Я тебя рисую
Читает
 
Михаил Сахаров
Аудио
299 ₽
Синхронизировано с текстовой версией
В этой версии книги вы можете с легкостью переключиться с электронной на аудиоверсию (или наоборот) и продолжить читать или слушать произведение с того места, на котором остановились ранее.","Книги про волшебников, Любовное фэнтези, Любовные приключения, Магические миры, Магическое фэнтези, Романтическая эротика, Фэнтези про драконов",2016-08-20T01:21:47,m.baldina14,"Мощная по звучанию книга, где героям приходится выбирать между ненавистью и любовью, верностью своему роду и преданностью своему единственному, истинной паре. В романе яркие персонажи, сильные страсти, напряженный сюжет. Главные герои...",0,0,5,https://www.litres.ru/book/marina-surzhevskaya-22364624/ya-tebya-risuu-40597235/
Не найдено,,,"Я жила у зеленых холмов Идегоррии, где растут исполинские деревья и искрятся хрустальные водопады. Я рисовала этот мир, изменяя... 
Смотреть оглавление
Другие версии
1 книга от 299 ₽
Другие версии книги
Аудиокниги
Я тебя рисую
Я тебя рисую
Читает
 
Михаил Сахаров
Аудио
299 ₽
Синхронизировано с текстовой версией
В этой версии книги вы можете с легкостью переключиться с электронной на аудиоверсию (или наоборот) и продолжить читать или слушать произведение с того места, на котором остановились ранее.","Книги про волшебников, Любовное фэнтези, Любовные приключения, Магические миры, Магическое фэнтези, Романтическая эротика, Фэнтези про драконов",2016-08-28T18:42:42,192136658,"Очень понравилось! Книга оставила хорошее, приподнятое настроение! Главные герои каждый сам по себе интересные личности. Язык и описания в книжке сочные, красочные. Читать легко и приятно. Сюжет не заезженный, такой еще не встречала. Читайте не...",0,0,,https://www.litres.ru/book/marina-surzhevskaya-22364624/ya-tebya-risuu-40597235/
Не найдено,,,"Я жила у зеленых холмов Идегоррии, где растут исполинские деревья и искрятся хрустальные водопады. Я рисовала этот мир, изменяя... 
Смотреть оглавление
Другие версии
1 книга от 299 ₽
Другие версии книги
Аудиокниги
Я тебя рисую
Я тебя рисую
Читает
 
Михаил Сахаров
Аудио
299 ₽
Синхронизировано с текстовой версией
В этой версии книги вы можете с легкостью переключиться с электронной на аудиоверсию (или наоборот) и продолжить читать или слушать произведение с того места, на котором остановились ранее.","Книги про волшебников, Любовное фэнтези, Любовные приключения, Магические миры, Магическое фэнтези, Романтическая эротика, Фэнтези про драконов",2016-08-30T18:18:16,Ольга Котыс,"Пожалуй, самая необычная история, прочитанная за последнее время. Сюжет, пусть и схож со многими в этом жанре, но «прорисовка» мира и способностей героев… удивили своей необычностью. Яркая, красивая история, пусть и не без грустинки, но на неё не...",0,0,5,https://www.litres.ru/book/marina-surzhevskaya-22364624/ya-tebya-risuu-40597235/
Не найдено,,,"Я жила у зеленых холмов Идегоррии, где растут исполинские деревья и искрятся хрустальные водопады. Я рисовала этот мир, изменяя... 
Смотреть оглавление
Другие версии
1 книга от 299 ₽
Другие версии книги
Аудиокниги
Я тебя рисую
Я тебя рисую
Читает
 
Михаил Сахаров
Аудио
299 ₽
Синхронизировано с текстовой версией
В этой версии книги вы можете с легкостью переключиться с электронной на аудиоверсию (или наоборот) и продолжить читать или слушать произведение с того места, на котором остановились ранее.","Книги про волшебников, Любовное фэнтези, Любовные приключения, Магические миры, Магическое фэнтези, Романтическая эротика, Фэнтези про драконов",2016-08-31T16:38:56,Елена Шахматова,"История произвела невероятное впечатление! Уже очень давно не получала столько удовольствия от чтения. Прекрасно продуманная история, великолепная героиня, и герой, который очаровывает! Рекомендую к прочтению и с нетерпением буду ждать Книги...",0,0,5,https://www.litres.ru/book/marina-surzhevskaya-22364624/ya-tebya-risuu-40597235/
Не найдено,,,"Я жила у зеленых холмов Идегоррии, где растут исполинские деревья и искрятся хрустальные водопады. Я рисовала этот мир, изменяя... 
Смотреть оглавление
Другие версии
1 книга от 299 ₽
Другие версии книги
Аудиокниги
Я тебя рисую
Я тебя рисую
Читает
 
Михаил Сахаров
Аудио
299 ₽
Синхронизировано с текстовой версией
В этой версии книги вы можете с легкостью переключиться с электронной на аудиоверсию (или наоборот) и продолжить читать или слушать произведение с того места, на котором остановились ранее.","Книги про волшебников, Любовное фэнтези, Любовные приключения, Магические миры, Магическое фэнтези, Романтическая эротика, Фэнтези про драконов",2016-09-06T22:40:55,Анна Несмеева,Немного «страненькая» книга. Нестандартные способности героев компенсируются вполне стандартным любовно-драматическим сюжетом. Несколько удивляет готовность брутального демона-дракона бесконечно уговаривать и упрашивать свою...,0,0,3,https://www.litres.ru/book/marina-surzhevskaya-22364624/ya-tebya-risuu-40597235/
Не найдено,,,"В этой книге рассказывается о тантре – пути духовного пробуждения. Это учение, зародившееся в Индии 7000 лет назад и давшее начало буддийской тантре... 
Смотреть оглавление","Духовные практики, Жизненная энергия, Зарубежная эзотерическая литература, Любовь и отношения, Медитации, Практическая эзотерика, Самопознание, Секс / секс-руководства, Скрытые возможности, Тантра, Эзотерика / оккультизм, Эзотерические учения",2019-06-01T00:42:40,demenkov.d,"Интереснейшая история, читается на одном дыхании, к прочтению рекомендую! Спасибо автору и всем, кто принимал участие в издании этой книги.",0,0,5,https://www.litres.ru/book/prem-gitama/tantra-peredannaya-shepotom-40517367/
Не найдено,,,"В этой книге рассказывается о тантре – пути духовного пробуждения. Это учение, зародившееся в Индии 7000 лет назад и давшее начало буддийской тантре... 
Смотреть оглавление","Духовные практики, Жизненная энергия, Зарубежная эзотерическая литература, Любовь и отношения, Медитации, Практическая эзотерика, Самопознание, Секс / секс-руководства, Скрытые возможности, Тантра, Эзотерика / оккультизм, Эзотерические учения",2019-07-21T13:59:37,Полина Молодцова,"Глубокая книга, которую поймут не все.
Потому что она будет ломать шаблоны об обычной любви у каждого человека , но она так перекликается с реальной жизнью, больше чем вы можете представить. Чтобы...",0,0,5,https://www.litres.ru/book/prem-gitama/tantra-peredannaya-shepotom-40517367/
Не найдено,,,"В этой книге рассказывается о тантре – пути духовного пробуждения. Это учение, зародившееся в Индии 7000 лет назад и давшее начало буддийской тантре... 
Смотреть оглавление","Духовные практики, Жизненная энергия, Зарубежная эзотерическая литература, Любовь и отношения, Медитации, Практическая эзотерика, Самопознание, Секс / секс-руководства, Скрытые возможности, Тантра, Эзотерика / оккультизм, Эзотерические учения",2019-10-21T06:54:36,se7383687,Читая страницу за страницей я вспоминала себя настоящую. Я вспомнила. Благодарю Гитаму за каждое слово в этой книге. Обязательно дам ее читать своей дочери.,0,0,5,https://www.litres.ru/book/prem-gitama/tantra-peredannaya-shepotom-40517367/
Не найдено,,,"В этой книге рассказывается о тантре – пути духовного пробуждения. Это учение, зародившееся в Индии 7000 лет назад и давшее начало буддийской тантре... 
Смотреть оглавление","Духовные практики, Жизненная энергия, Зарубежная эзотерическая литература, Любовь и отношения, Медитации, Практическая эзотерика, Самопознание, Секс / секс-руководства, Скрытые возможности, Тантра, Эзотерика / оккультизм, Эзотерические учения",2019-11-12T09:21:34,kusxa,"Книга, которая меня впечатлила и дала более глубокое понимание о жизни, об отношениях между женщинами и мужчинами и людьми вообще и о любви. Читается на одном дыхании. Книга освобождает от многих ненужных убеждений и заставляет задуматься о...",0,0,5,https://www.litres.ru/book/prem-gitama/tantra-peredannaya-shepotom-40517367/
Не найдено,,,"Эмилия стала собственностью Адриана Батлера. Целых полгода она будет его игрушкой, сексуальной рабыней, вещью, которой он сможет... 
Смотреть оглавление
Другие версии
1 книга от 249 ₽
Другие версии книги
Аудиокниги
(Не)строго бизнес
(Не)строго бизнес
Читает
 
Виталий Сулимов
Аудио
249 ₽
Синхронизировано с текстовой версией
В этой версии книги вы можете с легкостью переключиться с электронной на аудиоверсию (или наоборот) и продолжить читать или слушать произведение с того места, на котором остановились ранее.","Любовные испытания, Остросюжетные любовные романы, Роковая страсть, Современные любовные романы, Страстная любовь, Только на Литрес, Чувственность, Эротические романы",2020-07-17T20:42:39,Виктория,"Ожидала немного другое начало эпилога и более подробный конец его, но подкупил общий сюжет. Любителям такого мелодрамно-жаркого жанра можно советовать смело. Обе книги – прям любовь, однозначно. Уже ищу, что бы ещё найти у этих идеальных
авторов))...",0,0,5,https://www.litres.ru/book/aleks-d-17618839/ne-strogo-biznes-56553875/
